"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"MeSHDb for Anolis carolinensis (Anole lizard, v006)","Correspondence table between NCBI Gene ID and MeSH ID for Anolis carolinensis (Anole lizard)","3.18",NA,"TSV","https://github.com/rikenbit/mesh-workflow","24-Aug-2023","Anolis carolinensis",28377,NA,"NCBI,DBCLS","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHMeSHDbs/v006/MeSH.Aca.eg.db.sqlite","MeSHDb:MeSH:NCBI:DBCLS:Gendoo:Gene:NCBI Gene:gene2accession:Annotation:MeSH.Aca.eg.db:Anolis carolinensis:Anole lizard:v006"
"MeSHDb for Anopheles gambiae str. PEST (Anopheline, v006)","Correspondence table between NCBI Gene ID and MeSH ID for Anopheles gambiae str. PEST (Anopheline)","3.18",NA,"TSV","https://github.com/rikenbit/mesh-workflow","24-Aug-2023","Anopheles gambiae str. PEST",180454,NA,"NCBI,DBCLS","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHMeSHDbs/v006/MeSH.Aga.PEST.eg.db.sqlite","MeSHDb:MeSH:NCBI:DBCLS:Gendoo:Gene:NCBI Gene:gene2accession:Annotation:MeSH.Aga.PEST.eg.db:Anopheles gambiae str. PEST:Anopheline:v006"
"MeSHDb for Ailuropoda melanoleuca (Panda, v006)","Correspondence table between NCBI Gene ID and MeSH ID for Ailuropoda melanoleuca (Panda)","3.18",NA,"TSV","https://github.com/rikenbit/mesh-workflow","24-Aug-2023","Ailuropoda melanoleuca",9646,NA,"NCBI,DBCLS","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHMeSHDbs/v006/MeSH.Ame.eg.db.sqlite","MeSHDb:MeSH:NCBI:DBCLS:Gendoo:Gene:NCBI Gene:gene2accession:Annotation:MeSH.Ame.eg.db:Ailuropoda melanoleuca:Panda:v006"
"MeSHDb for Apis mellifera (Honey bee, v006)","Correspondence table between NCBI Gene ID and MeSH ID for Apis mellifera (Honey bee)","3.18",NA,"TSV","https://github.com/rikenbit/mesh-workflow","24-Aug-2023","Apis mellifera",7460,NA,"NCBI,DBCLS","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHMeSHDbs/v006/MeSH.Aml.eg.db.sqlite","MeSHDb:MeSH:NCBI:DBCLS:Gendoo:Gene:NCBI Gene:gene2accession:Annotation:MeSH.Aml.eg.db:Apis mellifera:Honey bee:v006"
"MeSHDb for Aspergillus nidulans FGSC A4 (Filamentous ascomycete, v006)","Correspondence table between NCBI Gene ID and MeSH ID for Aspergillus nidulans FGSC A4 (Filamentous ascomycete)","3.18",NA,"TSV","https://github.com/rikenbit/mesh-workflow","24-Aug-2023","Aspergillus nidulans FGSC A4",227321,NA,"NCBI,DBCLS","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHMeSHDbs/v006/MeSH.Ani.FGSC.eg.db.sqlite","MeSHDb:MeSH:NCBI:DBCLS:Gendoo:Gene:NCBI Gene:gene2accession:Annotation:MeSH.Ani.FGSC.eg.db:Aspergillus nidulans FGSC A4:Filamentous ascomycete:v006"
"MeSHDb for Arabidopsis thaliana (Thale cress, v006)","Correspondence table between NCBI Gene ID and MeSH ID for Arabidopsis thaliana (Thale cress)","3.18",NA,"TSV","https://github.com/rikenbit/mesh-workflow","24-Aug-2023","Arabidopsis thaliana",3702,NA,"NCBI,DBCLS","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHMeSHDbs/v006/MeSH.Ath.eg.db.sqlite","MeSHDb:MeSH:NCBI:DBCLS:Gendoo:Gene:NCBI Gene:gene2accession:Annotation:MeSH.Ath.eg.db:Arabidopsis thaliana:Thale cress:v006"
"MeSHDb for Branchiostoma floridae (Lancelet, v006)","Correspondence table between NCBI Gene ID and MeSH ID for Branchiostoma floridae (Lancelet)","3.18",NA,"TSV","https://github.com/rikenbit/mesh-workflow","24-Aug-2023","Branchiostoma floridae",7739,NA,"NCBI,DBCLS","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHMeSHDbs/v006/MeSH.Bfl.eg.db.sqlite","MeSHDb:MeSH:NCBI:DBCLS:Gendoo:Gene:NCBI Gene:gene2accession:Annotation:MeSH.Bfl.eg.db:Branchiostoma floridae:Lancelet:v006"
"MeSHDb for Bacillus subtilis subsp. subtilis str. 168 (v006)","Correspondence table between NCBI Gene ID and MeSH ID for Bacillus subtilis subsp. subtilis str. 168","3.18",NA,"TSV","https://github.com/rikenbit/mesh-workflow","24-Aug-2023","Bacillus subtilis subsp. subtilis str. 168",224308,NA,"NCBI,DBCLS","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHMeSHDbs/v006/MeSH.Bsu.168.eg.db.sqlite","MeSHDb:MeSH:NCBI:DBCLS:Gendoo:Gene:NCBI Gene:gene2accession:Annotation:MeSH.Bsu.168.eg.db:v006"
"MeSHDb for Bos taurus (Cow, v006)","Correspondence table between NCBI Gene ID and MeSH ID for Bos taurus (Cow)","3.18",NA,"TSV","https://github.com/rikenbit/mesh-workflow","24-Aug-2023","Bos taurus",9913,NA,"NCBI,DBCLS","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHMeSHDbs/v006/MeSH.Bta.eg.db.sqlite","MeSHDb:MeSH:NCBI:DBCLS:Gendoo:Gene:NCBI Gene:gene2accession:Annotation:MeSH.Bta.eg.db:Bos taurus:Cow:v006"
"MeSHDb for Candida albicans SC5314 (v006)","Correspondence table between NCBI Gene ID and MeSH ID for Candida albicans SC5314","3.18",NA,"TSV","https://github.com/rikenbit/mesh-workflow","24-Aug-2023","Candida albicans SC5314",237561,NA,"NCBI,DBCLS","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHMeSHDbs/v006/MeSH.Cal.SC5314.eg.db.sqlite","MeSHDb:MeSH:NCBI:DBCLS:Gendoo:Gene:NCBI Gene:gene2accession:Annotation:MeSH.Cal.SC5314.eg.db:v006"
